0x436c,"Récupération complète de l'endurance.
","Récupération complète de l'endurance.
"
0x4396,"Excellent stamina recovery.
","Excellent stamina recovery.
"
0x43b3,"Très bonne récupération de l'endurance.
","Très bonne récupération de l'endurance.
"
0x43df,"Very good stamina recovery.
","Very good stamina recovery.
"
0x43fc,"Excellente récupération de l'endurance.
","Excellente récupération de l'endurance.
"
0x4427,"Great stamina recovery.
","Great stamina recovery.
"
0x4440,"Bonne récupération de l'endurance.
","Bonne récupération de l'endurance.
"
0x4466,"Good stamina recovery.
","Good stamina recovery.
"
0x447e,"Récupération acceptable de l'endurance.
","Récupération acceptable de l'endurance.
"
0x44a9,"Decent stamina recovery.
","Decent stamina recovery.
"
0x44c3,"Récupération moyenne de l'endurance.
","Récupération moyenne de l'endurance.
"
0x44eb,"Moderate stamina recovery.
","Moderate stamina recovery.
"
0x4507,"Petite récupération de l'endurance.
","Petite récupération de l'endurance.
"
0x452e,"Small stamina recovery.
","Small stamina recovery.
"
0x4547,"Récupération d'endurance presque non décelable.
","Récupération d'endurance presque non décelable.
"
0x457b,"Barely noticeable stamina recovery.
","Barely noticeable stamina recovery.
"
0x45a0,"Très légère récupération de l'endurance.
","Très légère récupération de l'endurance.
"
0x45cf,"Slight stamina recovery.
","Slight stamina recovery.
"
0x45e9,"Très bonne récupération de l'endurance d'EVA.
","Très bonne récupération de l'endurance d'EVA.
"
0x461b,"EVA's stamina recovery was very good.
","EVA's stamina recovery was very good.
"
0x4642,"Excellente récupération de l'endurance d'EVA.
","Excellente récupération de l'endurance d'EVA.
"
0x4673,"EVA's stamina recovery was great.
","EVA's stamina recovery was great.
"
0x4696,"Parfaite récupération de l'endurance d'EVA.
","Parfaite récupération de l'endurance d'EVA.
"
0x46c5,"EVA's stamina recovery was excellent.
","EVA's stamina recovery was excellent.
"
0x46ec,"Récupération acceptable de l'endurance d'EVA.
","Récupération acceptable de l'endurance d'EVA.
"
0x471d,"EVA's stamina recovery was decent.
","EVA's stamina recovery was decent.
"
0x4741,"Récupération moyenne de l'endurance d'EVA.
","Récupération moyenne de l'endurance d'EVA.
"
0x476f,"EVA's stamina recovery was moderate.
","EVA's stamina recovery was moderate.
"
0x4795,"Bonne récupération de l'endurance d'EVA.
","Bonne récupération de l'endurance d'EVA.
"
0x47c1,"EVA's stamina recovery was good.
","EVA's stamina recovery was good.
"
0x47e3,"Récup. d'endur. (EVA) presque non décelable.
","Récup. d'endur. (EVA) presque non décelable.
"
0x4813,"EVA's stamina recovery was barely noticeable.
","EVA's stamina recovery was barely noticeable.
"
0x4842,"Très légère récupération de l'endurance d'EVA.
","Très légère récupération de l'endurance d'EVA.
"
0x4877,"EVA's stamina recovery was slight.
","EVA's stamina recovery was slight.
"
0x489b,"Petite récupération de l'endurance d'EVA.
","Petite récupération de l'endurance d'EVA.
"
0x48c8,"EVA's stamina recovery was small.
","EVA's stamina recovery was small.
"
0x48eb,"A eu une intoxication alimentaire.
","A eu une intoxication alimentaire.
"
0x490f,"Came down with food poisoning.
","Came down with food poisoning.
"
0x492f,"Etait pourri... Commence à avoir mal au ventre.
","Etait pourri... Commence à avoir mal au ventre.
"
0x4961,"Was rotten. Stomach starting to ache.
","Was rotten. Stomach starting to ache.
"
0x4988,"Batterie rechargée.
","Batterie rechargée.
"
0x499e,"Battery has recovered.
","Battery has recovered.
"
0x49b6,"A eu sommeil.
...Commence à avoir someil.
","A eu sommeil.
...Commence à avoir someil.
"
0x49e2,"Became sleepy.
","Became sleepy.
"
0x49f2,"Pas faim.
","Pas faim.
"
0x49fd,"Not hungry.
","Not hungry.
"
0x4a0a,"EVA a eu une intoxication alimentaire.
","EVA a eu une intoxication alimentaire.
"
0x4a32,"EVA came down with food poisoning.
","EVA came down with food poisoning.
"
0x4a56,"Devait être pourri.
EVA semble avoir mal au ventre.
","Devait être pourri.
EVA semble avoir mal au ventre.
"
0x4a8c,"Seems to have been rotten.
EVA seems to have a stomach ache.
","Seems to have been rotten.
EVA seems to have a stomach ache.
"
0x4aca,"EVA a l'air d'avoir sommeil.
","EVA a l'air d'avoir sommeil.
"
0x4ae8,"EVA looks sleepy.
","EVA looks sleepy.
"
0x4afb,"EVA ne semble pas avoir faim.
","EVA ne semble pas avoir faim.
"
0x4b1a,"EVA doesn't seem to be hungry.
","EVA doesn't seem to be hungry.
"
0x4b3a,"Python réticulé:
Pas encore mangé. Goût inconnu.
","Python réticulé:
Pas encore mangé. Goût inconnu.
"
0x4b70,"Reticulated Python
Not eaten yet. Taste unknown.
","Reticulated Python
Not eaten yet. Taste unknown.
"
0x4ba2,"Python réticulé:
Pas encore mangé. Censé être assez bon.
","Python réticulé:
Pas encore mangé. Censé être assez bon.
"
0x4be1,"Reticulated Python
Not eaten yet. Said to be fairly tasty.
","Reticulated Python
Not eaten yet. Said to be fairly tasty.
"
0x4c1d,"Python réticulé:
Avait assez bon goût.
","Python réticulé:
Avait assez bon goût.
"
0x4c48,"Reticulated Python
Was fairly tasty.
","Reticulated Python
Was fairly tasty.
"
