0x624,Sauvegarder ?,Sauvegarder ?
0x632,Oui,Oui
0x636,Non,Non
0x63a,メモリーカード(PS2)が見つかりません,メモリーカード(PS2)が見つかりません
0x66d,ファイルが見つかりません,ファイルが見つかりません
0x695,これでよろしいですか？,これでよろしいですか？
0x6ba,ファイルのロード中,ファイルのロード中
0x6d9,ファイルのロードが正常に終了しました,ファイルのロードが正常に終了しました
0x713,ファイルのロード中にエラーが発生しました,ファイルのロード中にエラーが発生しました
0x753,Yes,Yes
0x757,No,No
0x75a,MEMORY CARD (PS2) not inserted.,MEMORY CARD (PS2) not inserted.
0x77a,No MGS2 Substance data found.,No MGS2 Substance data found.
0x798,Load?,Load?
0x79e,Now loading.,Now loading.
0x7ab,Load completed.,Load completed.
0x7bb,Load failed.,Load failed.
0x7c8,Yes,Yes
0x7cc,No,No
0x7cf,MEMORY CARD (PS2) non insérée.,MEMORY CARD (PS2) non insérée.
0x7f0,Aucune donnée MGS2 trouvée.,Aucune donnée MGS2 trouvée.
0x80e,Charger?,Charger?
0x817,Chargement en cours.,Chargement en cours.
0x82c,Chargement terminé.,Chargement terminé.
0x841,Echec du chargement.,Echec du chargement.
0x856,Oui,Oui
0x85a,Non,Non
0x85e,MEMORY CARD (PS2) ist nicht eingelegt.,MEMORY CARD (PS2) ist nicht eingelegt.
0x885,Keine MGS2-Daten gefunden.,Keine MGS2-Daten gefunden.
0x8a0,Laden?,Laden?
0x8a7,Datei wird geladen.,Datei wird geladen.
0x8bb,Datei ist geladen.,Datei ist geladen.
0x8ce,Datei konnte nicht geladen werden.,Datei konnte nicht geladen werden.
0x8f1,Ja,Ja
0x8f4,Nein,Nein
0x8f9,No hay una MEMORY CARD (PS2) introducida.,No hay una MEMORY CARD (PS2) introducida.
0x923,No se ha encontrado información sobre MGS2.,No se ha encontrado información sobre MGS2.
0x950,¿Cargar?,¿Cargar?
0x95a,Cargando.,Cargando.
0x964,Se ha cargado satisfactoriamente.,Se ha cargado satisfactoriamente.
0x986,No se ha cargado.,No se ha cargado.
0x998,Sì,Sì
0x99c,No,No
0x99f,MEMORY CARD (PS2) non inserita.,MEMORY CARD (PS2) non inserita.
0x9bf,Nessun dato MGS2 trovato.,Nessun dato MGS2 trovato.
0x9d9,Vuoi caricare?,Vuoi caricare?
0x9e8,Caricamento in corso.,Caricamento in corso.
0x9fe,Caricamento completato.,Caricamento completato.
0xa16,Caricamento non riuscito.,Caricamento non riuscito.
0xa30,Sì,Sì
0xa34,No,No
0xa37,Aft deck,Aft deck
0xa40,"Deck-A, crew's quarters","Deck-A, crew's quarters"
0xa58,"Deck-A, crew's lounge","Deck-A, crew's lounge"
0xa6e,"Deck-B, crew's quarters","Deck-B, crew's quarters"
0xa86,"Deck-C, crew's quarters","Deck-C, crew's quarters"
0xa9e,"Deck-D, crew's quarters","Deck-D, crew's quarters"
0xab6,"Deck-E, the bridge","Deck-E, the bridge"
0xac9,"Navigational deck,wing","Navigational deck,wing"
0xae0,Engine room,Engine room
0xaec,"Deck-2, starboard","Deck-2, starboard"
0xafe,"Deck-2, port","Deck-2, port"
0xb0b,Hold No.1,Hold No.1
0xb15,Hold No.2,Hold No.2
0xb1f,Hold No.3,Hold No.3
0xb29,Strut A Deep Sea Dock,Strut A Deep Sea Dock
0xb3f,Strut A roof,Strut A roof
0xb4c,Strut A Pump Room,Strut A Pump Room
0xb5e,AB connecting bridge,AB connecting bridge
0xb73,Strut B Transformer Room,Strut B Transformer Room
0xb8c,BC connecting bridge,BC connecting bridge
0xba1,Strut C Dining Hall,Strut C Dining Hall
0xbb5,CD connecting bridge,CD connecting bridge
0xbca,Strut D Sediment Pool,Strut D Sediment Pool
0xbe0,DE connecting bridge,DE connecting bridge
0xbf5,Strut E Parcel Room,Strut E Parcel Room
0xc09,Strut E heliport,Strut E heliport
0xc1a,EF connecting bridge,EF connecting bridge
0xc2f,Strut F warehouse ,Strut F warehouse 
0xc42,FA connecting bridge,FA connecting bridge
0xc57,"Shell 1 Core, 1F","Shell 1 Core, 1F"
0xc68,"Shell 1 Core, B1","Shell 1 Core, B1"
0xc79,"Shell 1 Core, B1 Hall","Shell 1 Core, B1 Hall"
0xc8f,"Shell 1 Core, B2 Computer Room","Shell 1 Core, B2 Computer Room"
0xcae,Shell 1-2 connecting bridge,Shell 1-2 connecting bridge
0xcca,Shell 1-2 connecting bridge - LG connecting bridge,Shell 1-2 connecting bridge - LG connecting bridge
0xcfd,Strut L perimeter - KL connecting bridge,Strut L perimeter - KL connecting bridge
0xd26,KL connecting bridge,KL connecting bridge
0xd3b,Strut L Sewage Treatment Facility,Strut L Sewage Treatment Facility
0xd5d,"Shell 2 Core, 1F Air Purification Room","Shell 2 Core, 1F Air Purification Room"
0xd84,"Shell 2 Core, B1 Filtration Chamber No.1","Shell 2 Core, B1 Filtration Chamber No.1"
0xdad,"Shell 2 Core, B1 Filtration Chamber No.2","Shell 2 Core, B1 Filtration Chamber No.2"
0xdd6,Strut L Oil Fence,Strut L Oil Fence
0xde8,Arsenal Gear-Stomach,Arsenal Gear-Stomach
0xdfd,Arsenal Gear-Jejunum,Arsenal Gear-Jejunum
0xe12,Arsenal Gear-Ascending Colon,Arsenal Gear-Ascending Colon
0xe2f,Arsenal Gear-Ileum,Arsenal Gear-Ileum
0xe42,Arsenal Gear-Sigmoid Colon,Arsenal Gear-Sigmoid Colon
0xe5d,Arsenal Gear-Rectum,Arsenal Gear-Rectum
0xe71,Federal Hall,Federal Hall
0xe7e,Plant Beginning,Plant Beginning
0xe8e,Tanker Cleared,Tanker Cleared
0xe9d,Plant Cleared,Plant Cleared
0xeab,Snake Tales A Cleared,Snake Tales A Cleared
0xec1,Snake Tales B Cleared,Snake Tales B Cleared
