0x61c,Sauvegarder ?,Sauvegarder ?
0x62a,Oui,Oui
0x62e,Non,Non
0x632,メモリーカード(PS2)が見つかりません,メモリーカード(PS2)が見つかりません
0x665,ファイルが見つかりません,ファイルが見つかりません
0x68d,これでよろしいですか？,これでよろしいですか？
0x6b2,ファイルのロード中,ファイルのロード中
0x6d1,ファイルのロードが正常に終了しました,ファイルのロードが正常に終了しました
0x70b,ファイルのロード中にエラーが発生しました,ファイルのロード中にエラーが発生しました
0x74b,Yes,Yes
0x74f,No,No
0x752,MEMORY CARD (PS2) not inserted.,MEMORY CARD (PS2) not inserted.
0x772,No MGS2 Substance data found.,No MGS2 Substance data found.
0x790,Load?,Load?
0x796,Now loading.,Now loading.
0x7a3,Load completed.,Load completed.
0x7b3,Load failed.,Load failed.
0x7c0,Yes,Yes
0x7c4,No,No
0x7c7,MEMORY CARD (PS2) non insérée.,MEMORY CARD (PS2) non insérée.
0x7e8,Aucune donnée MGS2 trouvée.,Aucune donnée MGS2 trouvée.
0x806,Charger?,Charger?
0x80f,Chargement en cours.,Chargement en cours.
0x824,Chargement terminé.,Chargement terminé.
0x839,Echec du chargement.,Echec du chargement.
0x84e,Oui,Oui
0x852,Non,Non
0x856,MEMORY CARD (PS2) ist nicht eingelegt.,MEMORY CARD (PS2) ist nicht eingelegt.
0x87d,Keine MGS2-Daten gefunden.,Keine MGS2-Daten gefunden.
0x898,Laden?,Laden?
0x89f,Datei wird geladen.,Datei wird geladen.
0x8b3,Datei ist geladen.,Datei ist geladen.
0x8c6,Datei konnte nicht geladen werden.,Datei konnte nicht geladen werden.
0x8e9,Ja,Ja
0x8ec,Nein,Nein
0x8f1,No hay una MEMORY CARD (PS2) introducida.,No hay una MEMORY CARD (PS2) introducida.
0x91b,No se ha encontrado información sobre MGS2.,No se ha encontrado información sobre MGS2.
0x948,¿Cargar?,¿Cargar?
0x952,Cargando.,Cargando.
0x95c,Se ha cargado satisfactoriamente.,Se ha cargado satisfactoriamente.
0x97e,No se ha cargado.,No se ha cargado.
0x990,Sì,Sì
0x994,No,No
0x997,MEMORY CARD (PS2) non inserita.,MEMORY CARD (PS2) non inserita.
0x9b7,Nessun dato MGS2 trovato.,Nessun dato MGS2 trovato.
0x9d1,Vuoi caricare?,Vuoi caricare?
0x9e0,Caricamento in corso.,Caricamento in corso.
0x9f6,Caricamento completato.,Caricamento completato.
0xa0e,Caricamento non riuscito.,Caricamento non riuscito.
0xa28,Sì,Sì
0xa2c,No,No
0xa2f,Aft deck,Aft deck
0xa38,"Deck-A, crew's quarters","Deck-A, crew's quarters"
0xa50,"Deck-A, crew's lounge","Deck-A, crew's lounge"
0xa66,"Deck-B, crew's quarters","Deck-B, crew's quarters"
0xa7e,"Deck-C, crew's quarters","Deck-C, crew's quarters"
0xa96,"Deck-D, crew's quarters","Deck-D, crew's quarters"
0xaae,"Deck-E, the bridge","Deck-E, the bridge"
