0x441c,"Récupération complète de l'endurance.
","Récupération complète de l'endurance.
"
0x4446,"Excellent stamina recovery.
","Excellent stamina recovery.
"
0x4463,"Très bonne récupération de l'endurance.
","Très bonne récupération de l'endurance.
"
0x448f,"Very good stamina recovery.
","Very good stamina recovery.
"
0x44ac,"Excellente récupération de l'endurance.
","Excellente récupération de l'endurance.
"
0x44d7,"Great stamina recovery.
","Great stamina recovery.
"
0x44f0,"Bonne récupération de l'endurance.
","Bonne récupération de l'endurance.
"
0x4516,"Good stamina recovery.
","Good stamina recovery.
"
0x452e,"Récupération acceptable de l'endurance.
","Récupération acceptable de l'endurance.
"
0x4559,"Decent stamina recovery.
","Decent stamina recovery.
"
0x4573,"Récupération moyenne de l'endurance.
","Récupération moyenne de l'endurance.
"
0x459b,"Moderate stamina recovery.
","Moderate stamina recovery.
"
0x45b7,"Petite récupération de l'endurance.
","Petite récupération de l'endurance.
"
0x45de,"Small stamina recovery.
","Small stamina recovery.
"
0x45f7,"Récupération d'endurance presque non décelable.
","Récupération d'endurance presque non décelable.
"
0x462b,"Barely noticeable stamina recovery.
","Barely noticeable stamina recovery.
"
0x4650,"Très légère récupération de l'endurance.
","Très légère récupération de l'endurance.
"
0x467f,"Slight stamina recovery.
","Slight stamina recovery.
"
0x4699,"Très bonne récupération de l'endurance d'EVA.
","Très bonne récupération de l'endurance d'EVA.
"
0x46cb,"EVA's stamina recovery was very good.
","EVA's stamina recovery was very good.
"
0x46f2,"Excellente récupération de l'endurance d'EVA.
","Excellente récupération de l'endurance d'EVA.
"
0x4723,"EVA's stamina recovery was great.
","EVA's stamina recovery was great.
"
0x4746,"Parfaite récupération de l'endurance d'EVA.
","Parfaite récupération de l'endurance d'EVA.
"
0x4775,"EVA's stamina recovery was excellent.
","EVA's stamina recovery was excellent.
"
0x479c,"Récupération acceptable de l'endurance d'EVA.
","Récupération acceptable de l'endurance d'EVA.
"
0x47cd,"EVA's stamina recovery was decent.
","EVA's stamina recovery was decent.
"
0x47f1,"Récupération moyenne de l'endurance d'EVA.
","Récupération moyenne de l'endurance d'EVA.
"
0x481f,"EVA's stamina recovery was moderate.
","EVA's stamina recovery was moderate.
"
0x4845,"Bonne récupération de l'endurance d'EVA.
","Bonne récupération de l'endurance d'EVA.
"
0x4871,"EVA's stamina recovery was good.
","EVA's stamina recovery was good.
"
0x4893,"Récup. d'endur. (EVA) presque non décelable.
","Récup. d'endur. (EVA) presque non décelable.
"
0x48c3,"EVA's stamina recovery was barely noticeable.
","EVA's stamina recovery was barely noticeable.
"
0x48f2,"Très légère récupération de l'endurance d'EVA.
","Très légère récupération de l'endurance d'EVA.
"
0x4927,"EVA's stamina recovery was slight.
","EVA's stamina recovery was slight.
"
0x494b,"Petite récupération de l'endurance d'EVA.
","Petite récupération de l'endurance d'EVA.
"
0x4978,"EVA's stamina recovery was small.
","EVA's stamina recovery was small.
"
0x499b,"A eu une intoxication alimentaire.
","A eu une intoxication alimentaire.
"
0x49bf,"Came down with food poisoning.
","Came down with food poisoning.
"
0x49df,"Etait pourri... Commence à avoir mal au ventre.
","Etait pourri... Commence à avoir mal au ventre.
"
0x4a11,"Was rotten. Stomach starting to ache.
","Was rotten. Stomach starting to ache.
"
0x4a38,"Batterie rechargée.
","Batterie rechargée.
"
0x4a4e,"Battery has recovered.
","Battery has recovered.
"
0x4a66,"A eu sommeil.
...Commence à avoir someil.
","A eu sommeil.
...Commence à avoir someil.
"
0x4a92,"Became sleepy.
","Became sleepy.
"
0x4aa2,"Pas faim.
","Pas faim.
"
0x4aad,"Not hungry.
","Not hungry.
"
0x4aba,"EVA a eu une intoxication alimentaire.
","EVA a eu une intoxication alimentaire.
"
0x4ae2,"EVA came down with food poisoning.
","EVA came down with food poisoning.
"
0x4b06,"Devait être pourri.
EVA semble avoir mal au ventre.
","Devait être pourri.
EVA semble avoir mal au ventre.
"
